1.	3111110
2.	41601131
3.	51311100
4.	51311101
5.	51311102
6.	51311300
7.	51311301
8.	51311102
9.	51311300
10.	51311301
11.	51311302
12.	51311400
13.	51311401
14.	51311402
15.	51311500
16.	51311501
17.	51311502
18.	51311600
19.	51311601
20.	51311602
21.	51311900
22.	51315500
23.	51315800
24.	51317100
25.	51317101
26.	51331600
27.	52321500
28.	52321501
29.	52342300
30.	52351600
31.	52352100
32.	52411100
33.	52417100
34.	52417101
35.	52417200
36.	52419100
37.	52441100
38.	52461100
39.	52482100
40.	52485100
41.	52485101
42.	52485102
43.	52485200
44.	52485201
45.	52485300
46.	52487100
47.	52488100
48.	52490100
49.	52496100
50.	52498100
51.	52502100
52.	52502101
53.	52502102
54.	52502103
55.	52502104
56.	52502105
57.	52502106
58.	52502107
59.	52502108
60.	52502400
61.	52502500
62.	52502501
63.	52502600
64.	52502601
65.	52506100
66.	52506101
67.	52506102
68.	52506103
69.	52506104
70.	52506105
71.	53355500
72.	61111100
73.	61111300
74.	61111400
75.	61131500
76.	61133400
77.	61151100
78.	61191300
79.	61221700
80.	61241100
81.	61241101
82.	61241102
83.	61311500
84.	61323100
85.	61331100
86.	61331100
87.	61336300
88.	61336600
89.	61360100
90.	61360600
91.	61336600
92.	61711100
93.	61711500
94.	61724100
95.	61724101
96.	61724302
97.	61725300
98.	61734300
99.	61735100
100.	61735200
101.	61911500
102.	61922100
103.	61922300
104.	61927200
105.	61932100
106.	61932101
107.	61932102
108.	61932200
109.	61932201
110.	61932300
111.	61943200
112.	61945400
113.	61945700
114.	61945800
115.	61948100
116.	61951100
117.	61963100
118.	61964300
119.	61964400
120.	61965100
121.	61970100
122.	61970200
123.	61973400
124.	61981100
125.	61981101
126.	62006100
127.	62428100
128.	62443100
129.	62448100
130.	62484200
131.	62498100
132.	62498200
133.	62498400
134.	62500300
135.	62538600
136.	62611100
137.	62611200
138.	62621100
139.	64110300
140.	65100100
141.	65200100
142.	66101100
143.	66120100
144.	66120400
145.	66130100
146.	66141100
147.	68110100
148.	68210100
149.	69110100
150.	69110101
151.	69110102
152.	69110103
153.	69120100
154.	62538400

RA

155.	41601100
156.	41601101
157.	41601102
158.	41601103
159.	41601104
160.	41601105
161.	41601106
162.	41601107
163.	41601108
164.	41601109
165.	41601110
166.	41601111
167.	41601112
168.	41601113
169.	41601114
170.	41601115
171.	41601116
172.	41601117
173.	41601118
174.	41601119
175.	41601120
176.	41601121
177.	41601122
178.	41601123
179.	41601124
180.	41601125
181.	41601126
182.	41601127
183.	41601128
184.	41601129
185.	41601130
186.	43221100
187.	45111100
188.	45410100
189.	45610100
190.	45910100
191.	46230100
192.	47811100
193.	49000100
194.	49000101
195.	49000102
